# locales: en-US, de-DE, es-ES, fr-FR, it-IT, pl-PL, pt-BR, ru-RU, zh-Hans
# Generated by Scripts/Localization/locale_spreadsheet.py --export
# Empty cell in a non-English column => commented-out stub in that locale's hjson.
# DO NOT edit the en-US column here; edit the .hjson and re-run --export.
Key	en-US	de-DE	es-ES	fr-FR	it-IT	pl-PL	pt-BR	ru-RU	zh-Hans
Keybinds.Increase Thickness.DisplayName	Increase  Thickness		Aumentar Grosor	Augmenter l'épaisseur					
Keybinds.Decrease Thickness.DisplayName	Decrease  Thickness		Disminuir Grosor	Diminuer l'épaisseur					
Keybinds.Open Wand Settings.DisplayName	Open Wand Settings		Abrir Configuración de Varita	Ouvrir les paramètres de la baguette					
Keybinds.Undo Selection Step.DisplayName	Undo Selection Step		Deshacer Paso de Selección	Annuler l'étape de sélection					
Keybinds.Toggle Suppress Drops.DisplayName	Toggle Suppress Drops		Alternar Suprimir Objetos	Activer/Désactiver la suppression des drops					
RecipeGroups.AnyGemstone	Any Gemstone		Gema Cualquiera	N'importe quelle gemme					
RecipeGroups.AnyWandOfBuilding	Any Wand of Building		Cualquier Varita de Construcción	N'importe quelle baguette de construction					
RecipeGroups.AnyWandOfDismantling	Any Wand of Dismantling		Cualquier Varita de Desmantelamiento	N'importe quelle baguette de démantèlement					
UI.Common.Shape	Shape		Forma	Forme					
UI.Common.OutlineThickness	Outline Thickness:			Épaisseur du contour :					
UI.Common.Close	Close		Cerrar	Fermer					
UI.Common.DefaultOn	Default: On								
UI.Common.DefaultOff	Default: Off								
UI.Common.ShapeRectFilled	Rectangle (Filled)		Rectángulo (Relleno)	Rectangle (Plein)					
UI.Common.ShapeRectHollow	Rectangle (Hollow)		Rectángulo (Hueco)	Rectangle (Vide)					
UI.Common.ShapeEllipseFilled	Ellipse (Filled)		Elipse (Rellena)	Ellipse (Pleine)					
UI.Common.ShapeEllipseHollow	Ellipse (Hollow)		Elipse (Hueca)	Ellipse (Vide)					
UI.Common.ShapeDiamondFilled	Diamond (Filled)		Diamante (Relleno)	Diamant (Plein)					
UI.Common.ShapeDiamondHollow	Diamond (Hollow)		Diamante (Hueco)	Diamant (Vide)					
UI.Common.ShapeTriangleFilled	Triangle (Filled)		Triángulo (Relleno)	Triangle (Plein)					
UI.Common.ShapeTriangleHollow	Triangle (Hollow)		Triángulo (Hueco)	Triangle (Vide)					
UI.Common.ShapeElbow	Elbow		Codo	Coude					
UI.Common.ShapeCardinal	Cardinal Line		Línea Cardinal	Ligne cardinale					
UI.Common.ShapeStraightLine	Straight Line								
UI.Common.ShapeMold	Mold (from Wand of Molding)	Form (benutzerdefiniert)	Molde (forma personalizada)	Moule (forme personnalisée)	Stampo (forma personalizzata)	Forma (niestandardowy kształt)	Molde (formato personalizado)	Шаблон (произвольная форма)	模具（自定义形状）
UI.Common.EqualDimensions	Equal Dimensions		Igualar Dimensiones	Dimensions égales					
UI.Common.ConnectDiameter	Connect Diameter		Conectar Diámetro	Connecter le diamètre					
UI.Common.ConnectDiameterTooltip	Connect Diameter (half shapes only)								
UI.Common.InvertSelection	Invert Selection								
UI.Common.PreservePaint	Preserve Paint								
UI.Common.ActuationIgnore	Actuation: Ignore								
UI.Common.ActuationOn	Actuation: ON								
UI.Common.ActuationOff	Actuation: OFF								
UI.Common.ShapeOptions	Shape Options		Opciones de Forma	Options de forme					
UI.Common.Slice	Shape Slice								
UI.Building.Title	Wand of Building		Varita de Construcción	Baguette de construction					
UI.Building.ObjectType	Object Type		Tipo de Objeto	Type d'objet					
UI.Building.SolidBlock	Solid Block		Bloque Sólido	Bloc solide					
UI.Building.Platform	Platform		Plataforma	Plateforme					
UI.Building.Rope	Rope		Cuerda	Corde					
UI.Building.Rail	Rail		Riel	Rail					
UI.Building.GrassSeed	Grass Seed		Semilla de Hierba	Graine d'herbe					
UI.Building.PlanterBox	Planter Box		Macetero	Bac à plantation					
UI.Building.Wall	Wall		Pared	Mur					
UI.Building.Slope	Slope		Rampa	Pente					
UI.Building.SlopeDefault	Full Block		Bloque Completo	Bloc complet					
UI.Building.SlopeHalf	Half Block		Medio Bloque	Demi-bloc					
UI.Building.SlopeBottomRight	Slope ◣ (Down-Right)		Rampa ◣ (Abajo-Derecha)	Pente ◣ (Bas-Droite)					
UI.Building.SlopeBottomLeft	Slope ◢ (Down-Left)		Rampa ◢ (Abajo-Izquierda)	Pente ◢ (Bas-Gauche)					
UI.Building.SlopeTopRight	Slope ◤ (Up-Right)		Rampa ◤ (Arriba-Derecha)	Pente ◤ (Haut-Droite)					
